year,title,lb_rating,tmdb_rating,genres,runtime_min,budget,revenue,original_language,production_companies,imdb_id,tmdb_id,original_title,tmdb_popularity,vote_count,release_date,overview,production_countries,status,tagline
1947,The Love of the Actress Sumako,3.5,6.8,Drama,96,0,0,ja,Shochiku,tt0039516,46046,女優須磨子の恋,0.7847,5,1947-08-16,"The stage director Shimamura, who is bringing western theatre to Japan, falls in love with the outspoken actress Sumako Matsui, and leaves his family to be with her, while trying to keep his Art Theatre solvent.",Japan,Released,
1947,One Wonderful Sunday,3.78,7.2,"Drama, Romance",108,0,0,ja,TOHO,tt0039871,45967,素晴らしき日曜日,0.719,89,1947-07-01,"Two broke sweethearts wander war-scarred Tokyo on a single Sunday, stretching 35 yen as they chase housing, small pleasures, and a little hope.",Japan,Released,
1947,Marriage,None,7.0,"Drama, Romance",86,0,0,ja,Shochiku,tt0039528,369106,結婚,0.6571,2,1947-03-18,In postwar Japan a young woman is unable to marry her sweetheart because her family's in difficult circumstances and needs her income to keep afloat.,Japan,Released,
1947,Snow Trail,3.65,7.0,"Drama, Crime",89,0,0,ja,TOHO,tt0039423,127112,銀嶺の果て,0.6471,22,1947-08-05,"Three bank robbers, Eijima, Nojiri, and Takasugi, flee the police and escape into the mountains. At an inn high in the Japanese Alps, Eijima and Nojiri encounter a young woman and her father, as well as Honda, a mountaineer. The inn folk do not realize their guests are wanted criminals and the visitors are treated with great kindness. Honda volunteers to lead them over the mountains, but Eijima's paranoia endangers all of them as they make the perilous trip.",Japan,Released,
1947,Record of a Tenement Gentleman,3.87,7.193,"Drama, Comedy",72,0,0,ja,Shochiku,tt0039651,74126,長屋紳士録,0.5054,57,1947-05-20,"An errant salaryman's son gets lost until a man from the Tokyo tenements brings him to vendor Tane, who's reluctant to let the kid board.",Japan,Released,
1947,The Spring River Flows East,3.56,6.4,Drama,192,0,0,zh,Kunlun Film Company,tt0040009,140260,一江春水向东流,0.4725,10,1947-10-09,"1930's China. The village of a poor family is taken over by the occupying Japanese army. One son, Zhongliang, leaves his wife and young son to join a medic group for the Chinese Army. The other son, Zhangmin goes into hiding to protect his family. The focus shifts back and forth from the brothers' parents and Zhongliang's wife and son to Zhongliang's newfound life of luxury in a town not too far away. The plight of Zhongliang's mother, his wife, Sufan and her son, Kongeson is contrasted with Zhongliang's rise in a flourishing company.",China,Released,
1947,Once More,3.17,6.2,"Romance, Drama",118,0,0,ja,TOHO,tt0037815,299253,今ひとたびの,0.4351,4,1947-04-01,A romance with political overtones about the relationship of a sheltered bourgeois woman and a doctor who devotes himself to caring for the poor. Over a ten-year period - from 1936 through the war - they find each other and are separated again by the events of those tumultuous days.,Japan,Released,
1947,Actress,None,0.0,Drama,116,0,0,ja,TOHO,tt0039519,360452,女優,0.4169,0,1947-12-29,"Sumako, a country girl, becomes a great actress with the help of Hogetsu,a scholar who brought some of European realism to the Japan's stage. The relationship leads to the end of his marriage and the breakup of his Arts Society.  This is another version of Kenji Mizoguchi's film ""The Love of Sumako the Actress"" (""Joyû Sumako no koi""), from the same year. Both tells the story of the famous actress Sumako Mitsui (1886-1919), considered the first great modern theater actress in Japan. Mizoguchi himself is said to have preferred Kinugasa's version.",Japan,Released,
1947,Night Inn,None,6.0,Drama,107,0,0,zh,,tt1830913,548449,Ye dian,0.3662,1,1947-01-01,"Night Inn (Chinese: 夜店; pinyin: Yè Diǎn) is a Chinese black-and-white film released in 1947, directed by Huang Zuolin and starring the popular Shanghai singer Zhou Xuan.  The film is based on the Chinese theatrical adaptation of Maxim Gorky's The Lower Depths by playwright Ke Ling. The play and the film were both banned in China during the Cultural Revolution but were popular in the post-Mao period.",,Released,
1947,Portrait of Four Beauties,None,0.0,"Music, Romance, Drama",99,0,0,zh,Great China Film Company (Dazhonghua),,1081682,四美圖,0.351,0,1947-11-10,"Four sisters, each with their different characters, embark on their separate roads to romance. Elder sister has vast experience of romance; second sister is predisposed to vampiness and wantonness; third sister is righteous and of noble character; fourth sister is just reaching puberty and experiencing the pangs of first love. Being sentimental, flirtatious and amorous, the four sisters form a backdrop conducive to songs and tripping the light fantastic.",Hong Kong,Released,
1948,G-Men of Japan,None,0.0,"Crime, Drama",74,0,0,ja,Toyoko Eiga,,1086339,にっぽんGメン,3.0205,0,1948-10-12,"The investigative unit of the Metropolitan Police Department organized a special investigative team to uncover a series of frequent gang robberies and car gangs...  This is the first film in the Nippon G-Men series, of which four more films were later released.",Japan,Released,
1948,Drunken Angel,3.9,7.606,Drama,98,0,0,ja,TOHO,tt0040979,25858,酔いどれ天使,1.4873,301,1948-04-27,"In postwar Tokyo, a blunt, alcohol-soaked doctor diagnoses a swaggering young yakuza with tuberculosis, forging an uneasy bond that’s tested when the gangster’s ruthless former boss returns and drags him back toward the swampy underworld he can’t escape.",Japan,Released,
1948,Children of the Beehive,4.08,6.615,Drama,86,0,0,ja,Hachi no Su Eiga-bu,tt0431796,97714,蜂の巣の子供たち,0.6465,13,1948-08-24,"A group of war orphans initially seen scratching out an existence through black market work, as they are taken under the wing of a nameless soldier, just repatriated after the war.",Japan,Released,
1948,Women of the Night,None,7.1,Drama,74,0,0,ja,Shochiku,tt0040980,85844,夜の女たち,0.5673,30,1948-05-26,"In early post-war Osaka, three women, war widow Fusako, her sister Natsuko, an expatriate from Korea, and Kumiko, Fusako's sister-in-law, descend into prostitution, all for their individual reasons.",Japan,Released,
1948,The Most Beautiful Day of My Life,None,0.0,Drama,101,0,0,ja,Shochiku,tt0183996,499877,わが生涯のかゞやける日,0.5111,0,1948-09-26,"Life and love in corrupt postwar Tokyo, as a young couple struggles against both the law and the mob.",Japan,Released,
1948,Children Hand in Hand,None,0.0,Drama,86,0,0,ja,Daiei Film,tt0040230,354590,手をつなぐ子等,0.4774,0,1948-03-30,A small-town boy with a learning disability attempts to fit in with his classmates.,Japan,Released,
1948,A Hen in the Wind,3.77,7.1,Drama,84,0,0,ja,Shochiku,tt0040505,126219,風の中の牝鶏,0.4684,56,1948-09-17,"Tokiko is a mother patiently waiting for her husband's return from the war when her 4-year old son becomes ill. She takes him to the doctor for treatment but has no way of paying. She resorts to prostitution. One month later her husband returns from WWII to find his desperate wife, who tells him the truth. Together they must deal with the consequences.",Japan,Released,
1948,The Virgin Who Embraced the Rainbow,None,0.0,"Drama, Romance",87,0,0,ja,Shintoho Company,,1244043,虹を抱く処女,0.4099,0,1948-12-16,"Akiko Hojo, a nurse at Aisei Catholic Hospital, is spending another public holiday at Kotaro Hidaka's house. Hidaka, who is a poor musician suffers from tuberculosis, feels an unbearable love for Akiko, who takes great care of him during his visits. Because of his worries about his illness he doesn't want Akiko to be as unhappy as he is. Akiko loves Hidaka but there was one question. Is it because one side of Akiko has the essence of a woman living in an era when she's alone? Or, maybe it's because she nods to the reality of life...",Japan,Released,
1948,Twenty-One Fingerprints,None,0.0,Crime,84,0,0,ja,Daiei Film,,1024049,二十一の指紋,0.3984,0,1948-07-12,Third film of the Bannai Tarao series starring Chiezo Kataoka,Japan,Released,
1948,Bright Day,None,0.0,Drama,99,0,0,zh,,,804981,豔陽天,0.3934,0,1948-01-01,"The great Chinese star Shi Hui stars as an energetic lawyer fighting for the good of his neighbors in this stirring, almost Capra-esque drama from Cao Yu, one of China’s most important twentieth-century playwrights.",China,Released,
1949,Late Spring,4.34,8.007,Drama,108,0,0,ja,Shochiku,tt0041154,20530,晩春,1.8719,460,1949-09-13,"Noriko is perfectly happy living at home with her widowed father, Shukichi, and has no plans to marry -- that is, until her aunt Masa convinces Shukichi that unless he marries off his 27-year-old daughter soon, she will likely remain alone for the rest of her life. When Noriko resists Masa's matchmaking, Shukichi is forced to deceive his daughter and sacrifice his own happiness to do what he believes is right.",Japan,Released,
1949,Stray Dog,4.02,7.548,"Crime, Drama, Thriller",122,0,47005,ja,"Film Art Association, Shintoho Company",tt0041699,30368,野良犬,1.649,342,1949-10-17,"A bad day gets worse for young detective Murakami when a pickpocket steals his gun on a hot, crowded bus. Desperate to right the wrong, he goes undercover, scavenging Tokyo’s sweltering streets for the stray dog whose desperation has led him to a life of crime. With each step, cop and criminal’s lives become more intertwined and the investigation becomes an examination of Murakami’s own dark side.",Japan,Released,The Suspense Filled Story of 7 Bullets!
1949,The Quiet Duel,3.61,7.3,Drama,95,0,0,ja,Daiei Film,tt0041870,37513,静かなる決闘,0.5995,87,1949-03-19,"A young army surgeon, Kyoji Fujisaki, accidentally contracts syphilis during a WWII field operation. Back at his father’s clinic, he treats himself in secret and breaks off his engagement rather than risk his fiancée’s future, even as he confronts the irresponsible patient who infected him—testing his ethics, pride, and capacity for sacrifice.",Japan,Released,
1949,The Invisible Man Appears,3.1,6.3,"Horror, Science Fiction, Crime",82,0,0,ja,Daiei Film,tt0040477,384699,透明人間現わる,0.4135,16,1949-09-26,"A scientist successfully creates an invisibility serum, only to be kidnapped by a gang of thugs who wish to use the formula to rob a priceless jewel.",Japan,Released,"There is no good or evil in science, but it can be used for good or evil purposes!"
1949,Goodbye,3.12,0.0,Drama,0,0,0,ja,Shintoho Company,tt0262445,1630175,グッドバイ,0.3761,0,1949-06-28,,Japan,Released,
1949,The Blue Mountains: Part I,None,6.3,Drama,92,0,0,ja,"TOHO, Fujimoto Production",tt0185883,131833,青い山脈,0.3675,7,1949-07-19,Teacher Yukiko finds herself in opposition to conservative faculty and villagers after defending a student for being in a relationship with a young man from Tokyo.,Japan,Released,
1949,At the Time Men Have Seen Blood,None,0.0,Drama,77,0,0,ja,Daiei Film,,1365380,男が血を見た時,0.3277,0,1949-01-11,"A group of men obsessed with oil gather in a remote oil field region. Ichiro Kitazawa (Tatsuzaki) was one of them.  He had a daughter-in-law named Harue Saijo (Takasugi), but he felt no affection for her. Ichiro, however, had spent the inheritance Harue had inherited from her father to find oil. Ichiro was now being bled by Butterfly (Hidaka), an eccentric female waitress at the Kinryu-tei.  Harue took a train one day to visit Ichiro. She then befriended a man called Ken Matsuki (Dainikata), who had saved her from a crisis. Matsuki was a friend of Kitazawa, a man who was also passionate about the oil search.",Japan,Released,An unprecedented action film set against the backdrop of the burning oilfields!
1949,Broken Drum,None,6.7,"Comedy, Drama",108,0,0,ja,Shochiku,tt0042056,216041,破れ太鼓,0.3239,6,1949-12-01,"When the future of his construction company falls into danger, a controlling father pushes his children into unsatisfying marriages and careers in order to regain financial stability.",Japan,Released,
1949,The Winter of Three Hairs,None,7.333,"Drama, Comedy",74,0,0,zh,Kunlun Film Company,tt0470084,188324,三毛流浪记,0.3227,12,1949-12-01,"San mao (3 hairs) was a very popular Chinese comic strip first published in 1935-37, continued from 1948 into the 1990s, about a young orphan boy struggling with life in Shanghai.",China,Released,
1949,A Fool's Love,None,0.0,Drama,89,0,0,ja,Daiei Film,tt0321657,601542,痴人の愛,0.3164,0,1949-10-16,Adaptation of Junichiro Tanizaki's novel whit the same name. It is perversely erotic relationship between a young salaryman and his teenage wife whom he 'adopted' at first as to 'train' her to be his idealistic modern woman.,Japan,Released,
1950,G-men of Japan 2: Bloody Duel at Shipwreck Cape,None,0.0,"Drama, Action, Crime",91,0,0,ja,Toyoko Eiga,tt1921035,1104764,にっぽんGメン 第二話 難船﨑の血闘,3.6153,0,1950-01-03,"The second part of an action-packed action movie about the struggle between smugglers, the Japanese Coast Guard and G-men. Having caught a suspicious radio signal, the coast Guard discovers that a smuggling transaction is taking place and goes to the place. It was supposed to be a big catch, but they lose sight of the smugglers by finding and rescuing a woman drowning in the sea. The rescued woman says she jumped into the sea while escaping from a slaver's boat...  A luxury version featuring the two main stars of the Toei company – Chiezo Kataoka and Utaemon Ichikawa.",Japan,Released,
1950,Rashomon,4.21,8.044,"Crime, Drama, Mystery",88,250000,117668,ja,Daiei Film,tt0042876,548,羅生門,3.2484,2454,1950-08-26,Four people recount different versions of the story of a man's murder and the rape of his wife.,Japan,Released,"The husband, the wife… or the bandit?"
1950,The Munekata Sisters,3.78,7.132,Drama,112,0,0,ja,Shintoho Company,tt0042762,55198,宗方姉妹,0.7355,34,1950-08-08,"Setsuko is unhappily married to Mimura, an engineer with no job and a bad drinking habit. She had always been in love with Hiroshi but both of them failed to propose when Hiroshi left for France a few years ago. Now he is back and Mariko tries to reunite them. She too is secretly in love with Hiroshi.",Japan,Released,
1950,Scandal,3.52,6.9,Drama,104,0,0,ja,Shochiku,tt0042958,32690,醜聞,0.6507,93,1950-04-26,A celebrity photograph sparks a court case as a tabloid magazine spins a scandalous yarn over a painter and a famous singer.,Japan,Released,
1950,Till We Meet Again,3.57,6.3,"Romance, War, Drama",111,0,0,ja,TOHO,tt0043093,125235,また逢う日まで,0.6083,9,1950-03-21,Saburo and Keiko fall in love with each other but the tide of war separates them.,Japan,Released,
1950,Fencing Master,None,6.0,"Action, Adventure, Drama",103,0,0,ja,Toyoko Eiga,tt0274937,321207,殺陣師段平,0.5989,1,1950-08-26,"Swordfighting instructor Danpei works at a local theater in Tokyo, instructing the actors how to fight realistically.",Japan,Released,
1950,Zhao Yiman,None,6.0,Drama,100,0,0,zh,Changchun Film Studio,tt6721720,293909,赵一曼,0.5311,1,1950-07-30,"The life and death of Zhao Yi-Man, a female member of the Chinese resistance",China,Released,
1950,Listen to the Voices of the Sea,None,7.0,"Drama, War",109,0,0,ja,Toyoko Eiga,tt0042639,360532,日本戦歿学生の手記 きけ、わだつみの声,0.4803,1,1950-06-15,This film is strongly anti-war film. The film is based on the collection of writings by Japanese student soldiers who died during World War II. The film is located to Burma. It shows the everyday problems of soldiers in contrast of their ideas and the cynicism of their commanders. Soldiers are also victims of military bullying by their commanders.,Japan,Released,
1950,Street of Violence,None,6.5,"Drama, Crime",111,0,0,ja,,tt1637711,435231,暴力の街,0.4732,2,1950-02-26,An attempt is made to suppress a journalist's investigation of collusion between a rural police chief and the local gangster bosses.,Japan,Released,
1950,Escape at Dawn,None,5.7,"War, Drama",116,0,0,ja,Shintoho Company,tt0182685,354582,暁の脱走,0.463,3,1950-01-08,"Mikami, a Japanese soldier, is captured by Chinese forces. Although able to escape, he is treated with contempt by his peers. After falling in love with a prostitute named Harumi, she convinces him to desert the army and live with her.",Japan,Released,
1951,Early Summer,4.21,7.844,Drama,125,0,0,ja,"Shochiku, Shochiku Ofuna Film Studio",tt0043313,50247,麦秋,0.9291,202,1951-10-03,A 28-year-old single woman is pressured to marry.,Japan,Released,
1951,The Idiot,3.59,7.0,"Drama, Romance",166,0,0,ja,Shochiku,tt0043614,24774,白痴,0.6652,123,1951-05-23,"A gentle, war-shattered ex-soldier, Kinji Kameda, arrives in wintry Hokkaidō and is pulled into a volatile tangle of love and pity between the disgraced Taeko Nasu, the proud Ayako, and his possessive friend Akama. Kameda’s saintly compassion exposes everyone’s wounds, steering the quartet toward jealousy, violence, and inexorable tragedy. Adapted from Dostoevsky’s novel.",Japan,Released,
1951,Repast,3.88,7.6,Drama,97,0,0,ja,TOHO,tt0043801,47184,めし,0.5651,45,1951-11-23,Michiyo lives in the small place Osaka and is not happy with her marriage; all she does is cook and clean for her husband.,Japan,Released,
1951,Carmen Comes Home,3.38,6.14,"Comedy, Music",86,0,0,ja,Shochiku,tt0043699,125264,カルメン故郷に帰る,0.5199,25,1951-03-21,"A rural village elder plans an event on the return of a farmer's daughter from the city, unaware that she has become a Westernized burlesque artist.",Japan,Released,
1951,The Inner Palace Conspiracy,None,0.0,"Adventure, History, Mystery",93,0,0,ja,Shochiku,tt0323459,1070008,おぼろ駕籠,0.5018,0,1951-01-13,A period mystery in which an unconventional priest exposes the truth behind the bizarre death of a maid in the shogun's harem. Kinuyo Tanaka stylishly plays a constantly intoxicated geisha in this all-star entertainment film.,Japan,Released,
1951,Should They Marry?,None,0.0,Comedy,111,0,0,zh,Dragon-Horse Film Company,tt0205530,483369,誤佳期,0.4971,0,1951-08-05,"A wedding musician fails to wed his own love: Little Trumpet is raring to marry his childhood sweetheart, but a series of setbacks has prevented them from getting their way. Criticism against social formalities becomes all the more forceful with the clever use of contrast and irony, not to mention the realist and comedic touch a la Zhu Shilin. Of special mention is the famous teahouse scene where dynamic, melodic camerawork creates a hilarity that continues to amaze to this day. A genuine masterpiece with every single detail, down to the minor props, forming an integral part of a whole. Today, young couples are struggling nonetheless to get a roof over their heads, a testimony to the fact that poverty still reigns beneath the facade of harmony and stability after all these years.",Hong Kong,Released,
1951,Ginza Cosmetics,3.61,6.1,Drama,87,0,0,ja,Ito Productions,tt0043587,118575,銀座化粧,0.3967,11,1951-04-14,A luckless geisha struggles to make a living for herself and her young son.,Japan,Released,
1951,Pure White Nights,None,0.0,Drama,106,0,0,ja,Shochiku,tt8907236,545057,純白の夜,0.3908,0,1951-08-31,"""Pure White Nights"" -  A romantic tale that depicts love between married people and the psychology of their marriage with elegant and a controversial touch. Love, art and suffering until the tragic and absurd ending.",Japan,Released,
1951,Freedom School,None,0.0,"Drama, Comedy",109,0,0,ja,Shochiku,tt0043688,1237849,自由学校,0.3727,0,1951-05-05,"Minamimura, who had always wanted to be free, suddenly quits his job. His hardworking wife is surprised and angry, and throws him out of the house. Confused by his sudden freedom, Iosuke ends up living as a vagrant under a bridge. His wife, Komako, also finds herself freed and is unable to ignore her confusion.",Japan,Released,
1951,"Miki, the Swordman",None,5.0,"Adventure, Action, Drama",64,0,0,ja,"Shintoho Company, Sogei Production",tt6722916,555136,平手造酒,0.3662,3,1951-11-02,"After mastering swordsmanship at the dojo of Chiba Shusaku, and unable to serve a clan due to his illness, Hirate Miki becomes a ronin who winds up as bodyguard to Shigezo of Sasagawa leading up to an epic battle.",Japan,Released,
1952,Ikiru,4.51,8.314,Drama,143,0,55240,ja,TOHO,tt0044741,3782,生きる,4.0405,1294,1952-10-09,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",Japan,Released,A big story of a little man which will grip your soul...
1952,The Men Who Tread on the Tiger's Tail,3.33,6.7,"Drama, History, Thriller, Adventure",59,0,0,ja,TOHO,tt0038182,36916,虎の尾を踏む男達,1.1025,95,1952-04-24,A fugitive lord and his six retainers disguise themselves as monks to bluff their way through a hostile checkpoint.,Japan,Released,
1952,The Flavor of Green Tea Over Rice,4.03,7.5,Drama,116,0,0,ja,Shochiku,tt0044982,55197,お茶漬けの味,0.9525,98,1952-10-01,The arranged marriage between a capricious woman from Tokyo high society and a quiet and rustic man is tested by a marital crisis.,Japan,Released,
1952,Children of Hiroshima,3.83,7.1,"Drama, War",97,0,0,ja,"Mingei Theatre Company, Kindai Eiga Kyokai",tt0044497,77057,原爆の子,0.7416,41,1952-08-06,"Shows the devastation caused by the atomic bomb, and by use of a fictional storyline, portrays the struggle of the ordinary Japanese people in dealing with the aftermath.",Japan,Released,
1952,Mother,3.86,6.947,Drama,98,0,0,ja,Shintoho Company,tt0044986,41173,おかあさん,0.6944,19,1952-06-12,A teenaged girl witnesses her widowed mother's attempt to sustain her family.,Japan,Released,
1952,The Life of Oharu,4.2,7.7,Drama,136,0,0,ja,"Koi Productions, Shintoho Company, TOHO",tt0045112,43364,西鶴一代女,0.618,190,1952-04-17,"In 17th century Edo Period Japan, a noblewoman's banishment for her love affair with a lowly page signals the beginning of her inexorable fall.",Japan,Released,
1952,Jirocho Rises in Fame,None,0.0,"Drama, Action",82,0,0,ja,TOHO,tt0335204,271987,次郎長三国志　第一部　次郎長売出す,0.569,0,1952-12-04,The rise of the famed gambler.,Japan,Released,
1952,Big Hit Pachinko Girl,None,0.0,Comedy,80,0,0,ja,Shintoho Company,tt11352862,396779,大当りパチンコ娘,0.5129,0,1952-01-15,"Set in a bustling 1950s parlor, a beautiful counter clerk falls for a wealthy businessman’s son, only to have their romance derailed by a ruthless loan shark and a mounting family debt. As the parlor faces ruin, the narrative weaves through slapstick antics, musical numbers by Enka legends, and surreal interviews with real-life cultural figures. A chaotic ""blueprint"" for the Pachinko subgenre, this musical dramedy captures the obsession and desperation of the silver balls.",Japan,Released,
1952,Kin no tamago: Golden Girl,None,0.0,,107,0,0,ja,TOHO,tt0363645,868842,金の卵,0.5101,0,1952-05-14,"Once an average and seemingly ordinary Tokyo girl, she suddenly finds herself as a TV star owing to her discovery by a casting company, which noticed photographs that her cousin had sent. When another actress falls ill she is given the role instead. Her first film is a success propelling the young actress to popularity, her own fans, money and a house. While everything looks dandy from the outside not all is well within the family however.",Japan,Released,
1952,Lightning,3.99,7.173,Drama,87,0,0,ja,Daiei Film,tt0044745,125358,稲妻,0.4891,26,1952-10-09,"The story of Kiyoko, a young woman who has successfully managed to make a break with her dysfunctional family who have been trying to arrange a marriage for her with a disagreeable man whom she has rejected.",Japan,Released,
1953,Tokyo Story,4.43,8.168,Drama,137,0,0,ja,Shochiku,tt0046438,18148,東京物語,2.2514,1186,1953-11-03,"The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.",Japan,Released,"As long as life goes on, relationships between parents and children will bring boundless joy and endless grief."
1953,Meal Time,None,0.0,Comedy,0,0,0,zh,Shaw and Sons,tt0349514,975945,Meal Time,2.0564,0,1953-03-05,Meal Time is a comedy film about all the mess with housework that director Yan and his wife had to go through after the maid gave up her job.,,Released,
1953,Ugetsu,4.26,8.005,"Fantasy, Drama, Mystery",96,0,0,ja,Daiei Film,tt0046478,14696,雨月物語,1.8536,628,1953-03-26,"In 16th century Japan, peasants Genjuro and Tobei sell their earthenware pots to a group of soldiers in a nearby village, in defiance of a local sage's warning against seeking to profit from warfare. Genjuro's pursuit of both riches and the mysterious Lady Wakasa, as well as Tobei's desire to become a samurai, run the risk of destroying both themselves and their wives, Miyagi and Ohama.",Japan,Released,
1953,Bright Day,None,0.0,Drama,0,0,0,zh,Shaw and Sons,tt0205261,966647,明天,1.7904,0,1953-01-01,1953 drama film written and directed by Doe Ching. It is one of the earliest known productions by the Shaw Brothers credited as Shaw and Sons. The film is also known as Tomorrow and To-Morrow.,,Released,
1953,Love Letter,4.13,6.8,"Romance, Drama",98,0,0,ja,Shintoho Company,tt0407929,270055,恋文,1.6606,25,1953-12-13,"A sad and troubled man finds a new job five years after the end of WWII, where he writes love letters for other people.",Japan,Released,
1953,A Geisha,3.93,7.5,Drama,85,0,0,ja,Daiei Film,tt0045814,45991,祇園囃子,0.7759,57,1953-08-12,"Fleeing a distressing family situation, Eiko, a very young girl, becomes an apprentice to Miyoharu, a veteran geisha. Both, determined to preserve their professional integrity, must face the selfishness and ambition of several petty people.",Japan,Released,
1953,Gate of Hell,3.67,7.1,"Drama, History, Romance",86,0,0,ja,Daiei Film,tt0045935,43349,地獄門,0.7472,93,1953-10-30,"Japan, 1159. Moritō, a brave samurai, performs a heroic act by rescuing the lovely Kesa during a violent uprising. Moritō falls in love with her, but becomes distraught when he finds out that she is married.",Japan,Released,The most honored screen import in a decade!
1953,A Japanese Tragedy,3.66,5.321,Drama,116,0,0,ja,Shochiku,tt0046127,50805,日本の悲劇,0.6348,15,1953-06-17,"At the close of the war in Japan, a widowed mother makes every possible sacrifice to bring up her ungrateful son and daughter who are unimpressed with their poor standard of living at home. They gradually reject her in search of the material comforts that working as a maid cannot provide. The mother's despair becomes interminable.",Japan,Released,
1953,Anatahan,3.67,6.6,"Drama, War",91,0,0,ja,Daiwa Building,tt0046712,104776,アナタハン,0.6173,43,1953-06-28,"From June 1944, twelve Japanese seamen are stranded for seven years on an abandoned and forgotten island called Anatahan.",Japan,Released,
1953,Girls in the Orchard,None,0.0,Drama,95,0,0,ja,TOHO,tt0372315,346290,花の中の娘たち,0.6007,0,1953-09-15,"Girls in the Orchard (1953) is about tension between the life of a family in a rural area with all the traditions (continuing family business, taking care of the land)-- and the modernity and lure of a life in the city.",Japan,Released,
1954,Seven Samurai,4.6,8.451,"Action, Drama",207,2000000,105000000,ja,TOHO,tt0047478,346,七人の侍,8.8291,4112,1954-04-26,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",Japan,Released,Unmatched for suspense and spectacle!
